# name, trival, tag, category, ingredient (1:SEP:2), information, image, type, yields
Cupcake,135,#Cupcake(4),Cake,K:Clump of Dough:K:SEP:Spices\nFrosting\nP:Muffin Tin:P,ケーキ類で材料を集めるのがもっとも楽なメニューといえるでしょう。<BR>見た目マフィンなんで凄く見えないのが難点（ｗ,,snack,4
Fruit Pie,142,#Fruit Pie(3),Cake,K:Clump of Dough:K\nFruit(Forated item):SEP:<S>Spices</S>\nP:Pie Tin:P(return),\n,../icon/amipie.png,meal,3
Meat Pie,142,#Meat Pie(3),Cake,K:Clump of Dough:K\nChunk of Meat:SEP:<S>Spices</s>\nP:Pie Tin:P(return),このChunk of Meatをパイに仕立て上げることによって<BR>あなたは一躍人気者・・・（推定）,../icon/pie1.gif,meal,3
Muffin,135,#Muffin(3),Cake,K:Clump of Dough:K\nFruit(Foraged item):SEP:P:Muffin Tin:P,これを庶民の食べる安マフィン（失礼）を比べてはいけない！<BR>なんと買ったヤツとは重なりません（ｗ<BR>別アイテム扱いのようですね。,,snack,6
Pound Cake,135,#Pound Cake,Cake,K:Clump of Dough:K\nK:Berry Pie:K:SEP:Spice,パウンドケーキとは卵、小麦粉、砂糖を１パウンド(ポンド)<BR>ずつ使って作るケーキのこと。<BR>EQ中ではなぜかBerryPieに生地を更に足して<BR>作ってる様子　：P<BR>FruitPieでも試してみましたが作れませんでした。,../icon/takuan.png,meal,4
Rat Ear Pie,142,#Rat Ear Pie(2),Cake,K:Clump of Dough:K\nRat Ears:SEP:<S>Spices</S>\nP:Pie Tin:P(return),乞食達の中で大人気（？）のパイです。<BR>あるいは一番需要の高いパイになるのかな・・・<BR>※こちらはクエストに使う方ではありません,../icon/pie1.gif,hearty meal,2
Qeynos Rat Ear Pie,70↓<br>142(焼き),#Qeynos　Rat Ear Pie(1),Cake,Giant Rat Ears(or Rat Ears x 2):SEP:Cup of Flour(Wt 0.1)\nBaking Spirits\nContainer:Mixing Bowl,こちらをクエストで用いるようです。<BR>Cup of Flour.Baking SpiritsともにSouthQeynosのマフィン売ってる店でしか購入できません。<BR>PieTinはいらないです。<BR>まず上記の材料をMixingBowlで混ぜると焼く前のPieができるので<BR>それをOvenに入れて焼きます。<BR>耳はどちらを使っても同じ物ができます。<BR>※QeynosRatEarPieと言うのは便宜上付けた名前です<BR>RatEarPieと言う製品ができあがります。<BR>情報提供Tangoさん。Ｔｈｘ！,../icon/pie1.gif,?,1
Ulthork meat Pie,142↓<br>142(焼き),#Ulthork meat Pie,Cake,<FONT SIZE=2>下ごしらえ</FONT><BR><I><U>Container:Mixing Bowl</U></I><BR>Ulthork meat x2<BR>Spice<BR>Vinegar:SEP:<FONT SIZE=2>焼き</FONT><BR><I><U>Combine in Spit/Oven</U></I><BR>上記レシピでできたもの<BR>K:Clump of Dough:K<BR>P:Pie tin:P(返ってこない),Coldainクエストで用いるレシピのひとつ。<BR>Meatは生のまま食べられちゃうそうなので保管に注意。<BR>下ごしらえ品、完成品ともにNoDropです。<BR>肉はEasternWastesの南部のUlthork地帯から。,../icon/amipie.png,?,1
Vegetable Pie,142,#Vegetable Pie(6),Cake,K:Clump of Dough:K\nVegetable(Foraged item):SEP:<S>Spices</S>\nP:Pie Tin:P(return),むう・・・なんと６つでるとは！<BR>やりますねえ,,meal,6
Wedding Cake,162,#Wedding Cake,Cake,K:Clump of Dough:K\nK:White Chocolate:K:SEP:Frosting\nP:Cake Round:P(return),ゲーム内で結婚する人もいるEQ。<BR>(立ち会ったこと無いけど)<BR>そんな二人の門出にこのケーキはいかがでしょう?<BR>さらに演出として、このケーキをsliceすることができます。,../icon/birth.png,meal,2
Wedding Cake sliced,115,#Wedding Cake sliced,Cake,K:Wedding Cake:K x 1:SEP:-,Oven/SpitにWeddingCakeを1個だけ入れてコンバイン。<BR>すると10分割されたCakeになります。<BR>WeddingCakeを渡された新郎新婦が自分たちの手で<BR>切り分けて参列者に配る、といったこともできそう。<BR>・・・失敗したら目も当てられないんですが。,../icon/cakesliced.png,snack,10
Smoked Shark,95,#Smoked Shark,Smoked Meat,Shark Meat:SEP:Spices\nP:Smoker:P(陶芸) or S:Smoker:S(鍛冶),ソーセージですか？,,meal,2
Smoked Woodelf,93↑,#Smoked Woodelf,Smoked Meat,Woodelf Parts:SEP:Spices\nP:Smoker:P(陶芸) or S:Smoker:S(鍛冶),う、woodelf (TT),../icon/smoked.gif,meal / Wis+2 Agi+2,2
Dwarf Chops,36,#Dwarf Chops(2),Garmished Meat,Dwarf Meat:SEP:Spices\nGarmish,肉はButcherBlockのドワーフバンディットを倒すことで手に入ります。<BR>で、なぜCCBのRondoからはノーム肉がでますか。（ｗ,,meal / Str+2 Sta+2,2
Blackend Tier'Dal,62,#Blackend Tier'Dal(2),Garmished Meat,Dark Elf Meat:SEP:Spices\nGarmish,なんかグラフィックが凄い感じです。<BR>さすが（謎,../icon/smoked.gif,meal / Dex+1 Int+2 Agi+1,2
Elven Veal,60,#Elven Veal,Garmished Meat,High Elf Meat:SEP:Spices\nGarmish,未確認,,meal / Dex+1 Wis+1 Agi+1 Int+1,2
Hot'n Spicy Toelings,56,#Hot'n Spicy Toelings(2),Garmished Meat,Halfling Meat:SEP:Spices\nGarmish,なぜか肉はEastKaranaのCarrionSpiderからゲット。<BR>食われたハーフリングの肉だったんでしょうか・・・。,../icon/toe.gif,meal / Dex+2 Agi+2,2
Gnome Kabobs,56,#Gnome Kabobs(2),Kabobs,Gnome Meat:SEP:Spices\nJug of Sauces\nP:Skewer:P(陶芸) or S:Skewer:S(鍛冶) (return),\n,,meal / Dex+2 Int+2,2
Lizard on a Stick,56,#Lizard on a Stick(2),Kabobs,Lizard Meat:SEP:Jug of Sauces\nP:Skewer:P(陶芸) or S:Skewer:S(鍛冶) (return),最近Cazicも人気がないですが行く機会が有ればどうぞ　：Ｐ,,meal,2
Rat Kabobs,26,#Rat Kabobs,Kabobs,Rat Meat:SEP:Jug of Sauces\nSpices\nP:Skewer:P(陶芸) or S:Skewer:S(鍛冶) (return),未確認,../icon/ratkabobs.png,meal / Dex+1 Agi+1,1
Edible Goo,21,#Edible Goo,Other,Fire Beetle Eye\nRat Ears:SEP:-,序盤はこれを作るのがいいのでしょうが。<BR>材料が重ならない、耳が案外手に入らないので<BR>あんまり好きじゃないです。<BR>実際最初はサンドイッチを作ってました。,,meal,1
Pickled Froglok,51,#Pickled Froglok(1),Pickled Meat,Froglok Meat:SEP:Vinegar\nJug of Sauces\n<S>Jar</S>,なんと、全然レシピ違います=(<BR>Jarは使わずJug of Saucesを使いOvenで焼いてください。,,meal,1
Pickled Gator,51,#Pickled Gator(2),Pickled Meat,Gator Meat:SEP:Vinegar\nJug of Sauces\n<S>Jar</S>,Froglokの方と同様です。なぜ焼くのか、なぜソースを使うのか<BR>謎はつきません（ｗ,,meal,2
Pickled Bixie,51,#Pickled Bixie(2),Pickled Meat,Bixie Parts:SEP:Vinegar\nJug of Sauces\n<S>Jar</S>,,,meal,2
Pickled Lizard,51,#Pickled Lizard,Pickled Meat,Lizard Meat:SEP:Vinegar\nJug of Sauces\n<S>Jar</S>,Cazicのトカゲから肉をゲットしたら即作るのが<BR>おいしい酢漬けを作るコツ。　；）,,meal,2
Pickled Troll,51,#Pickled Troll,Pickled Meat,Troll Meat:SEP:Vinegar\nJug of Sauces\n<S>Jar</S>,Trollも酢漬けに…,,meal,2
Snake Pickles,51,#Snake Pickles,Pickled Meat,Snake Meat:SEP:Vinegar\nJug of Sauces\n<S>Jar</S>,Snakeも酢漬けになります。,,meal / Agi+1 SvPoison1,2
Bear Sandwich,31,#Bear Sandwich（１）,Sandwich,Bear Meat:SEP:Loaf of Bread,入手が比較的容易だと思われるので<BR>最初はこれのサンドイッチシリーズをお薦めします<BR>オーブンに入れて作ります。,../icon/sand.gif,meal,1
Mammoth Sandwich,31,#Mammoth Sandwich（5）,Sandwich,Mammoth Meat:SEP:Loaf of Bread,マンモスとはあまり戦ったことがないのでよくわかんないです（；；<BR>#なんと一度に５個作れるとか。さすが、まんもす！<BR>情報提供：Anesanさん.Baking中級者さん。Ｔｈｘ！,../icon/sand.gif,meal,5
Rat Sandwich,26,#Rat Sandwich（１）,Sandwich,Rat Meat:SEP:Loaf of Bread,入手が比較的容易だと思われるので<BR>最初はこれのサンドイッチシリーズをお薦めします,../icon/sand.gif,meal,1
Rat Ear Sandwich,36,#Rat Ear Sandwich,Sandwich,Rat Ear:SEP:Loaf of Bread\nJug of Sauces,ソースが必要な事に注意。<BR>コリコリした歯ごたえがたまらないとか何とか(w,../icon/sand.gif,meal,1
Scorpion Sandwich,26,#Scorpion Sandwich,Sandwich,Scorpion Meat:SEP:Loaf of Bread,Thurgadinの肉屋さんで簡単に作れるそうです。<br>Faila=Crista@AyonaeRo さんthx!,../icon/sand.gif,meal / SvPoison+1,1
Tundr bear Sandwich,?,#Tundr bear Sandwich,Sandwich,<FONT SIZE=2>具材作り</FONT><BR><I><U>Combine in spit/oven</U></I><BR>Tundra kodiak meat<BR>Jug of sauce:SEP:<FONT SIZE=2>はさみ作業</FONT><BR><I><U>Combine in mixing bowl</U></I><BR>上記レシピ品<BR>Loaf of Bread,Coldainクエストで使うレシピ。<BR>KodiakMeatはTundraKodiakより。,../icon/sand.gif,?,1
Wolf Sandwich,31,#Wolf Sandwich（１）,Sandwich,Wolf Meat:SEP:Loaf of Bread,入手が比較的容易だと思われるので<BR>最初はこれのサンドイッチシリーズをお薦めします,../icon/sand.gif,meal,1
Fish Rolls,135,#Fish Rolls（1）,SeaFood,Flesh Fish\nBatwings:SEP:-,これは８０くらいからあげるのにいいメニューでしょう。<BR>１３５で限界に達しました！,../icon/roll.gif,banquet,1
Gator Rolls,135,#Gator Rolls(1),SeaFood,Gator Meat\nWaspwings:SEP:-,<B>Fish</B>＋Waspwingでこれができるとかなんとか・・・？<BR>かまぼこ説が有力です（ｗ,,?,1
Shark Rolls,135,#Shark Rolls(1),SeaFood,Shark Meat\nBatwings:SEP:-,これで作れます。<BR>全部知り合いにばらまきましたｗ,../icon/roll.gif,banquet,1
Fish Fillets,82,#Fish Fillets（2）,SeaFood,Flesh Fish:SEP:Jug of Sauces,以外と難しい焼き魚。<BR>なぜかTrivial時でも成功率が低かったです（；；<BR>（５０％位）,../icon/beerbraised.gif,meal,2
Shark Fillet,82,#Shark Fillet(2),SeaFood,Shark Meat:SEP:Spices\nJug of Sauces,レシピを見るとFishFilletよりはSteak類に近い感じですね。,,hearty meal,2
Carp Fillet,82,#Carp Fillet(2),SeaFood,Boar Carp:SEP:Jug of Sauces,<BR>,,meal,2
Chub Fillet,82,#Chub Fillet(2),SeaFood,Despair Chub:SEP:Jug of Sauces,<BR>,,meal,2
Chub Fillet,82,#Chub Fillet-2,SeaFood,Rujarkian Chub:SEP:Jug of Sauces,<BR>,,meal,2
Pike Fillet,82,#Pike Fillet,SeaFood,Highland Pike:SEP:Jug of Sauces,<BR>,,meal,2
Pike Fillet,82,#Pike Fillet-2,SeaFood,Hound Pike:SEP:Jug of Sauces,<BR>,,meal,2
Salmon Fillet,82,#Salmon Fillet,SeaFood,Greengill Salmon:SEP:Jug of Sauces,<BR>,,meal,2
Salmon Fillet,82,#Salmon Fillet-2,SeaFood,Thunder Salmon:SEP:Jug of Sauces,<BR>,,meal,2
Trout Fillet,82,#Trout Fillet,SeaFood,Bloodfin trout:SEP:Jug of Sauces,<BR>,,meal,2
Trout Fillet,82,#Trout Fillet-2,SeaFood,Cauldron trout:SEP:Jug of Sauces,<BR>,,meal,2
Trout Fillet,82,#Trout Fillet-3,SeaFood,Fogwater trout:SEP:Jug of Sauces,<BR>,,meal,2
Marinated Muskie,142,#Marinated Muskie,Marinades,Rathe Muskie:SEP:Vinegar\nSpice\nSnake Egg Oil\nB:Fish Wine:B,マリネです！,,feast / Str+1 SvPoison+2 SvDisease+2,2
Fish Head Soup,68,#Fish Head Soup(1),Soup,Flesh Fish:SEP:Jug of Sauces\nFlask Water\nS:Pot:S (鍛冶) or P:Pot:P (陶芸) (return),パッチによってpotが返ってくるように。,../icon/soup.png,hearty meal,1
Rabbit Stew,68,#Rabbit Stew(1),Soup,Rabbit Meat(Foraged item):SEP:Flask Water\nS:Pot:S (鍛冶) or P:Pot:P (陶芸) (return),必要なのが水と肉だけなので<BR> 肉さえ手に入れば問題なさそうです。<BR> 売ってもらいましょう。,../icon/soup.png,hearty meal,1
Snow Bunny Stew,?,#Snow bunny stew,Soup,<FONT SIZE=2>味付け</FONT><BR><I><U>Combine in Mixing bowl</U></I><BR>Snow bunny meat x2<BR>Jug of sauce:SEP:<FONT SIZE=2>煮る</FONT><BR><I><U>Combine in pit/oven</U></I><BR>上記レシピ品<BR>Flask of water x2<BR>Spice<BR>S:Pot:S (鍛冶) or P:Pot:P (陶芸) (NOT return),Coldainクエストで使うレシピのひとつ。<BR>SnowBunnyはEasternWastesに（かわいい＞＜）。<BR>Potは返ってこないので注意。,../icon/soup.png,?,1
Vegetable Soup,68,#Vegetable Soup（２）,Soup,Vegetable(Foraged item):SEP:Flask Water\nJug of sauces\nS:Pot:S (鍛冶) or P:Pot:P (陶芸) (return),Potは一個持ってれば作り終わった後帰ってくるのでOKです。,../icon/soup.png,hearty meal,2
Bear Steaks,41,#Bear Steaks（1）,Steaks,Bear Meat:SEP:Spices\nJug of Sauces,サンドイッチが上がらなくなったらこれを作りましょう。,../icon/steak.gif,heart meal / Str+1,1
Gator Steaks,41,#Gator Steaks（1）,Steaks,Gator Meat:SEP:Spices\nJug of Sauces,オアシスでステーキハウスを開いている人発見w,../icon/steak.gif,meal / Str+1,1
Lion Steaks,41,#Lion Steaks（1）,Steaks,Lion Meat:SEP:Spices\nJug of Sauces,LionMeatってあんまり手に入れる機会がないですね〜<BR>（妖精島育ち）,../icon/steak.gif,hearty meal / Agi+1,1
Mammoth Steaks,41,#Mammoth Steaks（5）,Steaks,Mammoth Meat:SEP:Spices\nJug of Sauces,未確認,../icon/steak.gif,hearty meal / Str+2,5
Mammoth Steaks,?,#Mammoth Steaks-2,Steaks,Mammoth Meat:SEP:Algae Spices\nOyster Sauces,できあがりは同じ物のようです。,../icon/steak.gif,hearty meal / Str+2,5
Wolf Steaks,41,#Wolf Steaks（1）,Steaks,Wolf Meat:SEP:Spices\nJug of Sauces,Halasあたりだと、割と入手が楽で調味料もありますので<BR>いい感じです。,../icon/steak.gif,meal / Sta+1,1
Dragon Steaks,166↑,#Dragon Steak,Steaks,Dragon Meat:SEP:Spices\nJug of Sauces,酢漬けより上がり幅が大きいですね。,../icon/steak.gif,? / Str+4 Dex+4 Sta+4 Agi+4 Wis+4 Int+4 Cha+4,5
Frost Giant Steaks,142,#Frost Giant Steaks（1）,Steaks,Frost Giant Meat:SEP:Spices\nJug of Sauces,やっぱり Giant なだけに良い力強くなるんですね。おなか持ちもいいし。,../icon/steak.gif,banquet / Str+4 Sta+1,1
Storm Giant Steaks,142,#Storm Giant Steaks（１）,Steaks,Storm Giant Meat:SEP:Spices\nJug of Sauces,Frostと変わりませんねぇ。,../icon/steak.gif,banquet / Str+4 Sta+1,1
Yakman Steaks,?,#Yakman Steaks (1),Steaks,Yakman Meat:SEP:Spices\nJug of Sauces,クエスト用肉なんですが(W),../icon/steak.gif,hearty meal / Str+2 Sta+1,1
Yakman Steaks,?,#Yakman Steaks (5),Steaks,Yakman Meat:SEP:Algae Spices\nJug of Oyster Sauces,こちらで焼くと5個できるそうです。ちなみにYakman MeatはGreat DivideのTizmakから出ます。,../icon/steak.gif,hearty meal / Str+2 Sta+1,5
Kobold Steaks,41,#Kobold Steaks（1）,Steaks,Kobold Meat:SEP:Spices\nJug of Sauces,Warrensで大量入荷！,../icon/steak.gif,meal / Str+1 Sta+1,1
Snake Steak,41,#Snake Steak,Steaks,Snake Meat:SEP:Spices\nJag of Sauces,蛇ステーキっておいしいのかなあ?,../icon/steak.gif,meal / SvPoison 2,1
Batwing Crunchies,46,#Batwing Crunchies,Sweets,Batwings:SEP:Frosting,ええと、多分簡単だと思います（汗,../icon/cookie.gif,meal,1
Bixie Crunchies,46,#Bixie Crunchies,Sweets,Bixie Parts:SEP:Frosting,Halflingはみんな食べてる？お菓子です　：Ｄ<BR>Misty辺りでは倒して取ってらく、ちん、ぽん（？）で作れるので<BR>Mistyにお寄りの際は是非（ｗ,../icon/cookie.gif,meal,1
Candied Spider,88,#Candied Spider,Sweets,Spider Legs:SEP:Frosting\nSpices,FishFilletが止まったらこれがいいでしょう。,,snack,8
Snow Griffon Souffle,?,#Snow Griffon Souffle,Sweets,Snow griffin egg x 4:SEP:Spice\nCombine in spit/oven,Coldainクエストで使うレシピ。<BR>Snow GriffonはEasternWastesに。卵はNoDropなので集めるのに苦労するかも。,,?,1
White Chocolate,95,#White Chocolate,Sweets,Brownie parts:SEP:Frosting x 2\nSpice\nContainer:Mixing Bowl,このブラウニーパーツを手に入れることが凄く大変そうなんですが・・・,../icon/ivory.png,snack,1
White Chocolate Cookies,148,#White Chocolate Cookies,Sweets,K:Clump of Dough:K\nK:White Chocolate:K:SEP:Spice\nFrosting,大変そうなのを使ってまた大変そうなスキルが…,,snack,2
White Chocolate Muffins,150↑,#White Chocolate Muffins,Sweets,K:Clump of Dough:K\nK:White Chocolate:K\nFruit(Foraged items):SEP:P:Muffin Tin:P,こちらはマフィンです。,../icon/chocomuffin.png,snack,2
Winter Chocolate,95,#Winter Chocolate,Sweets,Brownie parts:SEP:Frosting x 2\nContainer:Mixing Bowl,このブラウニーパーツを手に入れることが凄く大変そうなんですが・・・,../icon/choco.gif,snack,1
Woolie Spider Crunchies,46,#Woolie Spider Crunchies,Sweets,Spider Legs:SEP:Frosting,これは普通のSpiderLegsでOKです。,../icon/cookie.gif,meal / SvFire-1 SvCold+2,1
Hot Cross Buns,142,#Hot Cross Buns,Sweets,Fruit(Foraged item)\nK:Clump of Dough:K:SEP:Frosting,分類はここでいいのかな?,,snack,8
Beer Braised Wolf,?,#Beer Braised Wolf,Beer Braised Meat,Wolf Meat:SEP:othmir algae ale\nalgae spices,作り方が違うだけ?,,meal / Sta+2 Int-1,2
Blackened panther,62,#Blackened panther,Garmished Meat,Panther meat:SEP:Spices\nGarmish,Panther meatは、Wakening Landの black pantherから取れるそうです。,,meal / Agi+2 Sta+1,2
Cobalt Cup Cakes,135,#Cobalt Cup Cake,Cake,K:Clump of Dough:K\n:SEP:Algae Spices\nPlankton\nFrosting\nP:Muffin Tin:P,プランクトン?,,meal / SvPoison+3 SvDisease+3,4
Orange Flavored Cod,142↓,#Orange Flavored Cod,Cod,Cobalt Cod\nEmerald Orange(Foraged item):SEP:Oyster Sauces\nKelp Garnish,,,meal / SvDisease+2 SvPoison+1,2
Pickled Dragon,125↓,#Pickled Dragon,Pickled Meat,Dragon Meat:SEP:Oyster Sauces\nSeaweed Vinegar,全体的にステータスがあがります。,,hearty meal / Str+3 Sta+3 Dex+3 Cha+3 Wis+3 Int+3 Agi+3,2
Pickled Drake,81↓,#Pickled Drake,Pickled Meat,Drake Meat:SEP:Oyster Sauces\nSeaweed Vinegar,Cobalt Scarだと全部揃いますね。,,meal / Wis+2 Int+2,2
Pickled Faun,?,#Pickled Faun,Pickled Meat,Faun Meat:SEP:Oyster Sauces\nSeaweed Vinegar,Faunは、Wakening LandのPoGへの建物前とかにいます。,,meal / Sta+3 Cha+1 Int+2,2
Pickled Frost Giant,88,#Pickled Frost Giant,Pickled Meat,Frost Giant Meat:SEP:Oyster Sauces\nSeaweed Vinegar,Giant Fortとか攻めると大量に出ますね。,,meal / Str+3 Sta+3,2
Pickled Storm Giant,88,#Pickled Storm Giant,Pickled Meat,Storm Giant Meat:SEP:Oyster Sauces\nSeaweed Vinegar,Giant Fortとか攻めると大量に出ますね。,,meal / Str+3 Sta+3,2
Pickled Sifaye,137↓,#Pickled Sifaye,Pickled Meat,Sifaye Meat:SEP:Oyster Sauces\nSeaweed Vinegar,Wakening LandにSifaye campがあります。,,meal / Dex+2 Wis+1 SvMagic+2,?
Pickled Siren,135↓,#Pickled Siren,Pickled Meat,Siren Meat:SEP:Oyster Sauces\nSeaweed Vinegar,Charmに注意…,,meal / Cha+4,2
Pickled Unicorn,142↓,#Pickled Unicorn,Pickled Meat,Unicorn Meat:SEP:Oyster Sauces\nSeaweed Vinegar,Unicornまで…,,meal / Cha+3 Wis+2 SvMagic+2,2
Pickled Wurm,141↓,#Pickled Wurm,Pickled Meat,Wurm Meat:SEP:Oyster Sauces\nSeaweed Vinegar,Dragonには劣りますが全体的に上がります。,,meal / Str+1 Dex+1 Sta+1 Wis+1 Int+1 Cha+1 Agi+1,2
Pickled Wyvern,81↓,#Pickled Wyvern,Pickled Meat,Wyvern Meat:SEP:Oyster Sauces\nSeaweed Vinegar,これもCobalt Scarで全部揃います。,,meal / SvMagic+3,2
Raptor Steaks,137↑,#Raptor Steaks,Steaks,Raptor Meat:SEP:Spices\nJug of Sauces,Wakening Landsであるいている恐竜です。,,meal / Str+2 Sta+1,1
Rolled Cutlassfish,142,#Rolled Cutlassfish,SeaFood,Iceclad Cutlassfish\nBatWings:SEP:-,<BR>,,meal,1
Salty Whitefish Fillet,88,#Salty Whitefish Fillet,SeaFood,Salty Whitefish:SEP:Jug of Oyster Sauce,<BR>,,meal,2
Sea Green Cookies,135,#Sea Green Cookies,Cake,K:Clump of Dough:K:SEP:Algae Spices\nPlankton\nFrosting,<BR>,,meal / SvDisease+2 SvPoison+2,1
Shark Fillet,?,#Shark Fillet-2,SeaFood,Shark Meat:SEP:Algae Spices\nOyster Sauces,作り方が違うだけ?,,hearty meal,2
