Name	Zone Name	Level	HP	Race	Class	Position(s)
Artist Passia	Southern Desert of Ro	40	3250	Dark Elf	Shopkeeper	(159,442)
Ascania Halvbin	Ocean of Tears	23 - 25	750 - 790	Wood Elf	Warrior	(649,-9160)
ash hornet, an	The Burning Wood	33 - 37	1635 - 1715	Wasp	Warrior	(-2529,2596), (-363,-1697), (738,-964), (-441,-1497), (-2667,1953)
ashenbone drake, an	Plane of Hate	51	15616 - 15863	Dragon Skeleton	Necromancer	(-66,-376), (-66,-256)
Asnod Marnoc	West Freeport	30	1150	Citizen, Qeynos	Shopkeeper	(-282,-797)
asp, an	East Commonlands	7 - 11	170 - 250	Snake, Giant	Warrior	(-957,515), (-815,2438), (-926,2512), (-789,-132), (-789,1599)
asp, an	Northern Desert of Ro	7 - 11	170 - 250	Snake, Giant	Warrior	(-854,20), (-1187,894), (-424,868), (-757,919), (-967,1221)
asp, an	Oasis of Marr	7 - 11	170 - 250	Snake, Giant	Warrior	(2335,-727), (1479,425), (1617,386), (364,-508), (1714,477)
asp, an	Southern Desert of Ro	7 - 11	170 - 250	Snake, Giant	Warrior	(381,1009), (-111,-404), (420,-209), (475,-774), (124,-726)
asp, an	West Commonlands	7 - 11	170 - 250	Snake, Giant	Warrior	(-840,3074), (-942,513), (-661,2795), (-638,1333), (-796,-710)
Assa Leafwind	Northern Felwithe	40	3250	High Elf	Shopkeeper	(28,-466)
Astaed Wemor	North Qeynos	42 - 61	4281 - 32344	Human	GM Paladin	(-105,-255)
Astar Leafsinger	Greater Faydark	40	3250	Guard, Faydark	Shopkeeper	(-252,294)
Asyln C`Luzz	Neriak - Commons	43	4699	Dark Elf	GM Wizard	(132,-899)
Atdehim Sqonci	Paineel	45	11062 - 11156	Erudite	Cleric	(1177,488)
Atheki Norkhitter	North Kaladim	9 - 11	220 - 260	Dwarf	Warrior	(693,200)
Atheling Plague	The Burning Wood	37	1735	Sarnak	Shaman	(6246,-4046)
Atvo Siro	West Freeport	45	5875	Guard, Freeport	Shopkeeper	(108,-733)
Atwin Keladryn	Butcherblock Mountains	35	1675	Half-Elf	Warrior	(1429,2783)
Auhrik Siet`ka	Paineel	50 - 61	32000	Erudite	GM Necromancer	(762,849)
Avatar of Fear	Lost Temple of CazicThule	38	2893	Cazic-Thule	Shadow Knight	(1092,588)
avenging caitiff, an	Castle Mistmoore	30	1150	Dark Elf	Warrior	(-122,292)
avenging gazer, an	Plane of Sky	59	24670	Evil Eye	Wizard	(608,353)
aviak avocet	Southern Plains of Karana	28 - 30	990 - 1030	Aviak	Warrior	(-6699,1149), (-6790,1035), (-6792,1540)
aviak chick, an	Butcherblock Mountains	3 - 5	50 - 90	Aviak	Warrior	(-72,2185), (237,2174), (600,2033)
aviak darter	Southern Plains of Karana	16 - 18	470 - 510	Aviak	Warrior	(-2352,-1736), (-7119,117), (-6520,929)
aviak egret	Southern Plains of Karana	13 - 15	360 - 400	Aviak	Warrior	(-4774,-1025), (-4552,-2353), (-3008,-2726)
aviak guard, an	Lake Rathetear	16 - 20	490 - 570	Aviak	Warrior	(755,874), (-192,2772), (2480,959), (-216,2782), (-183,2782)
aviak harrier	Southern Plains of Karana	24 - 26	790 - 830	Aviak	Warrior	(-6234,1066), (-7118,89), (-4755,-1725)
aviak quetzel, an	Ocean of Tears	21 - 23	670 - 710	Aviak	Warrior	(1591,4059), (1889,3664), (1660,3559)
aviak rook	Southern Plains of Karana	20 - 22	630 - 670	Aviak	Warrior	(-5280,1414), (-6487,2027), (-6659,988)
aviak starling, an	Ocean of Tears	9 - 11	220 - 260	Aviak	Warrior	(1744,3882), (1368,3907), (2152,3450)
aviak tanager, an	Ocean of Tears	17 - 19	510 - 550	Aviak	Warrior	(1540,3451), (1643,3779), (1370,3553)
aviak turaco, an	Ocean of Tears	13 - 15	360 - 400	Aviak	Warrior	(2034,4077), (1545,4084), (1601,4133)
aviak, an	Lake Rathetear	8 - 12	200 - 280	Aviak	Warrior	(2476,2445), (2628,2367), (2276,2424), (2227,2371)
Axa Stormshield	North Kaladim	38 - 42	3210 - 3290	Citizen, Kaladim	Shopkeeper	(939,124)
Axe Broadsmith	Qeynos Hills	20	610	Human	Warrior	(3773,962)
Ayen  Rundlor	Butcherblock Mountains	38 - 42	3210 - 3290	Citizen, Kaladim	Shopkeeper	(2824,-676)
Ayth Niphiria	Erudin	22	690 - 1034	Erudite	Shopkeeper	(-621,-82)
azarack, an	Plane of Sky	53	12259	Imp	Rogue	(-438,-699)
bag merchant	Rivervale	35	1675	Citizen, Rivervale	Shopkeeper	(208,-213)
Bait Masterson	East Freeport	25	810	Human	Warrior	(-360,-1099)
Bait Masterson	Qeynos Aqueduct System	25	810	Human	Warrior	(877,91)
Baker Glena	South Qeynos	35	1675	High Elf	Shopkeeper	(421,-366)
Baker Jena	High Keep	40	3250	Citizen, Qeynos	Shopkeeper	(46,-259)
Baldoleky Rockfinder	South Kaladim	38 - 42	3210 - 3290	Citizen, Kaladim	Shopkeeper	(254,-185)
Baleki Nightseer	North Kaladim	38 - 42	3460 - 3540	Citizen, Kaladim	Shopkeeper	(779,158)
Balen Kalgunn	Butcherblock Mountains	35	1675	Dwarf	Warrior	(1475,2899)
Balhallia	North Qeynos	45	5875	Citizen, Qeynos	Shopkeeper	(-131,-748)
Balik Wolftrot	Firiona Vie	45	5875 - 6122	Half-Elf	Shopkeeper	(-3009,2966)
Balthazar	Eastern Plains of Karana	45	5875	Citizen, Qeynos	Shopkeeper	(1328,-2721)
Banaf Norkhitter	North Kaladim	38 - 42	3210 - 3290	Citizen, Kaladim	Shopkeeper	(699,426)
bandit leader, a	Timorous Deep	18 - 20	550 - 590	Halfling	Warrior	(-535,2564), (-606,2465), (-516,2574)
bandit, a	Eastern Plains of Karana	9 - 11	240 - 265	Barbarian	Warrior	(1467,-613), (1478,-602), (1487,-535)
bandit, a	Lake Rathetear	9	220	Barbarian	Warrior	(2318,-1750)
bandit, a	Eastern Plains of Karana	10 - 11	164 - 184	Half-Elf	Druid	(1467,-613), (1487,-535)
bandit, a	Rathe Mountains	10 - 11	164 - 184	Half-Elf	Druid	(3028,1310), (3079,1256)
bandit, a	Western Plains of Karana	12	204	Half-Elf	Druid	(171,-7405)
bandit, a	Greater Faydark	7 - 8	124 - 144	Half-Elf	Rogue	(-1273,-686), (-1257,-676), (-1273,-718)
bandit, a	Lesser Faydark	8 - 13	145 - 310	Half-Elf	Rogue	(1499,2067), (1465,2046), (1463,2092)
bandit, a	Timorous Deep	14 - 15	390 - 410	Half-Elf	Warrior	(-670,2589), (-582,2381), (5756,-1990), (5778,-1957)
bandit, a	Eastern Plains of Karana	11 - 12	147 - 167	Half-Elf	Wizard	(1507,-653), (1495,-654)
bandit, a	Lake Rathetear	11 - 12	147 - 167	Half-Elf	Wizard	(2372,-1786), (2384,-1847)
bandit, a	Rathe Mountains	12	167	Half-Elf	Wizard	(2869,1279)
bandit, a	Eastern Plains of Karana	10	295	Human	Cleric	(1463,-614)
bandit, a	Eastern Plains of Karana	10 - 11	230 - 250	Human	Rogue	(1496,-664), (1257,-539)
bandit, a	Lake Rathetear	10	185	Human	Rogue	(3552,-1087)
bandit, a	Rathe Mountains	9 - 10	165 - 185	Human	Rogue	(3079,1256), (2869,1279)
bandit, a	Western Plains of Karana	9 - 11	165 - 205	Human	Rogue	(-3505,-11133), (49,-7882), (904,-7021)
bandit, a	Timorous Deep	16 - 18	470 - 510	Human	Warrior	(-670,2589), (-582,2381), (5756,-1990), (5778,-1957)
bandit, a	Greater Faydark	4 - 6	57 - 97	Wood Elf	Rogue	(-1273,-686), (-1257,-676), (-1273,-718)
Bandl McMarrin	Everfrost	40	3250 - 3900	Citizen, Halas	Warrior	(737,-1475)
banished Kerran, a	Kerra Isle	20	610	Kerra	Monk	(-516,-172)
banished kerran, a	Kerra Isle	20	610	Kerra	Monk	(463,487)
Bank Clerk Jaylin	High Keep	25	810	Citizen, Qeynos	Banker	(-28,-337)
Banker Javen	Qeynos Aqueduct System	40	3370	Beggar, Human	Banker	(425,-321)
Banker Rylisan	Northern Felwithe	40	3250	High Elf	Banker	(-33,-432)
Banker Tintal	Northern Felwithe	40	3250	High Elf	Banker	(-49,-452)
Banker Willaen	Greater Faydark	40	3250	Guard, Faydark	Banker	(-194,718)
Banor Raglesin	East Freeport	28	960	Guard, Freeport	Shopkeeper	(-225,-231)
Baobob Miller	Qeynos Hills	25	810	Half-Elf	Warrior	(3767,-738)
barbed bone skeleton, a	Estate of Unrest	24 - 26	790 - 830	Skeleton	Warrior	(635,-35), (677,-62)
barbed bone skeleton, a	Rathe Mountains	24 - 26	790 - 830	Skeleton	Warrior	(-447,-2236), (-782,-1555), (-735,-1605)
barbed succulant, a	The Overthere	18 - 20	550 - 590	167	Warrior	(-587,-2860), (501,-3139), (2355,-2808)
Bargynn	Kurn's Tower	20	435	Burynai	Shaman	(-114,264)
Barkeep Aanlawen	Greater Faydark	40	3250	Guard, Faydark	Shopkeeper	(601,690)
Barkeep Jeny	Northern Plains of Karana	45	5875	Citizen, Qeynos	Shopkeeper	(416,2222)
Barkeep Lysslan	Greater Faydark	40	3250	Guard, Faydark	Shopkeeper	(123,805)
Barkeep Manlawen	Greater Faydark	40	3250	Guard, Faydark	Shopkeeper	(322,542)
Barkeep Milo	Northern Plains of Karana	45	5875	Citizen, Qeynos	Shopkeeper	(432,2248)
Barkeep Myrisa	Greater Faydark	40	3250	Guard, Faydark	Shopkeeper	(394,677)
Barkeep Sissya	Greater Faydark	40	3250	Guard, Faydark	Shopkeeper	(-563,-557)
Barkeep Syntan	Greater Faydark	40	3250	Guard, Faydark	Shopkeeper	(881,93)
Barkeep Tuviena	Greater Faydark	40	3250	Guard, Faydark	Shopkeeper	(132,822)
Barkeep Tvanla	Greater Faydark	40	3250	Guard, Faydark	Shopkeeper	(-534,-549)
Barkeep Uulianu	Greater Faydark	40	3250	Guard, Faydark	Shopkeeper	(286,520)
Barma Dunfire	Butcherblock Mountains	9 - 11	165 - 205	Dwarf	Rogue	(-537,-649)
Barn Bloodstone	Highpass Hold	20	610	Human	Rogue	(417,-52)
Barn Bloodstone	Qeynos Hills	20	610	Human	Rogue	(589,-353)
Barnal Flamehand	Firiona Vie	49	10411 - 10531	Erudite	Wizard	(-3268,3077)
barracuda, a	Cabilis East	4 - 6	80 - 120	Tribunal	Warrior	(580,-527), (459,-891), (423,-739)
barracuda, a	Lake of Ill Omen	5 - 6	100 - 120	Tribunal	Warrior	(2007,-3172)
Barrel Barge	Oasis of Marr	50	9550	Launch	Warrior	(1568,-1185)
Barrel Barge	Timorous Deep	50	9550	Launch	Warrior	(7586,5360)
Barsk	Grobb	40	3250	Citizen, Grobb	Shopkeeper	(301,-414)
Barsk	Oggok	40	3250	Citizen, Oggok	Shopkeeper	(669,1049)
Barstall Methinon	Erudin Palace	24	770	Citizen, Erudin	Shopkeeper	(916,757)
Bartender	Highpass Hold	45	5875	Citizen, Qeynos	Shopkeeper	(403,-164)
Barthal	South Qeynos	37	2179	Citizen, Qeynos	Shopkeeper	(-41,-283)
Bartholemew	Highpass Hold	45	5875	Citizen, Qeynos	Shopkeeper	(-211,11)
basalt drake, a	Rathe Mountains	23 - 27	770 - 850	Drake	Warrior	(-2128,1431), (-1779,533), (-1571,1509), (-1771,1194), (-1583,1445)
basalt gargoyle, a	Ruins of Old Guk	30 - 34	1194 - 1274	Gargoyle	Warrior	(771,-545), (789,-684), (747,-522)
Basher Avisk	Grobb	38 - 40	2836 - 2876	Citizen, Grobb	Warrior	(262,-50)
Basher Banzuk	Grobb	38 - 40	2836 - 2876	Citizen, Grobb	Warrior	(453,-412)
Basher Bibeka	Grobb	38 - 40	2836 - 2876	Citizen, Grobb	Warrior	(202,137)
Basher Bugak	Grobb	33 - 37	1640 - 1720	Citizen, Grobb	Warrior	(603,-491)
Basher Gamuk	Grobb	38 - 40	2499 - 2539	Citizen, Grobb	Warrior	(275,-474)
Basher Ganbaku	Grobb	34 - 37	1660 - 1720	Citizen, Grobb	Warrior	(198,-93)
Basher Glaum	Grobb	38	2499	Citizen, Grobb	Warrior	(-12,-433)
Basher Gobzin	Grobb	38 - 40	2836 - 2876	Citizen, Grobb	Warrior	(468,-545)
Basher Gubaku	Grobb	33 - 37	1640 - 1720	Citizen, Grobb	Warrior	(-124,-466)
Basher Kankuk	Grobb	33 - 37	1640 - 1720	Citizen, Grobb	Warrior	(82,-97)
Basher Kigak	Grobb	33 - 36	1640 - 1700	Citizen, Grobb	Warrior	(-47,-460), (323,-455), (563,-457)
Basher Kumek	Grobb	37 - 40	2816 - 2876	Citizen, Grobb	Warrior	(240,137)
Basher Nagkuma	Grobb	33 - 37	1640 - 1720	Citizen, Grobb	Warrior	(435,-219)
Basher Nanrum	Grobb	45	8817	Citizen, Grobb	Warrior	(-7,-67)
Basher Oggrik	Innothule Swamp	33 - 50	1640 - 32000	Citizen, Grobb	Warrior	(-2614,-501), (-2602,-528)
Basher Rakguk	Grobb	35 - 37	1680 - 1720	Citizen, Grobb	Warrior	(312,-29)
Basher Razbaz	Grobb	38 - 40	2836 - 2876	Citizen, Grobb	Warrior	(72,80)
Basher Roruma	Grobb	37 - 39	2479 - 2519	Citizen, Grobb	Warrior	(-12,-483)
Basher Scintok	Grobb	33 - 35	1640 - 1680	Citizen, Grobb	Warrior	(653,-261), (671,-321), (552,-217)
Basher Sklama	Innothule Swamp	33 - 50	1640 - 32000	Citizen, Grobb	Warrior	(-2568,-321), (-2431,-233), (-2533,-282), (-2487,-230)
Basher Smag	Innothule Swamp	33 - 50	1640 - 32000	Citizen, Grobb	Warrior	(-2572,-624)
Basher Stizik	Grobb	34 - 38	1871 - 1951	Citizen, Grobb	Warrior	(437,-543)
Basher Sutok	Grobb	38 - 40	2836 - 2876	Citizen, Grobb	Warrior	(59,-94), (138,-69)
Basher Thintan	Grobb	33 - 37	1660 - 1740	Citizen, Grobb	Warrior	(502,-828), (576,-709), (674,-625), (673,-346)
Basher Trak	Innothule Swamp	33 - 50	1640 - 32000	Citizen, Grobb	Warrior	(-2551,-620)
Basher Uvgin	Grobb	40 - 42	2236 - 2276	Citizen, Grobb	Shaman	(583,-640)
Basher Wisthak	Grobb	33 - 37	1640 - 1720	Citizen, Grobb	Warrior	(668,-643)
Basher Zabaak	Grobb	34 - 37	1660 - 1720	Citizen, Grobb	Warrior	(135,-31)
Basher Zazluk	Grobb	34 - 37	1660 - 1720	Citizen, Grobb	Warrior	(275,-443)
Basil the skinner	Firiona Vie	40	3250 - 3497	Wood Elf	Shopkeeper	(-3366,2616)
Basil	Western Plains of Karana	20	610	Barbarian	Warrior	(-3098,-3417)
basilisk, a	Rathe Mountains	13 - 17	370 - 450	Alligator	Warrior	(-25,-203), (993,-16), (-533,-183), (383,1020), (-20,690)
basilisk, a	Ruins of Old Guk	28 - 32	1110 - 1190	Alligator	Warrior	(829,507), (695,-638), (1097,245), (649,-748), (615,150)
Bassanio Weekin	South Qeynos	45	5875	Citizen, Qeynos	Shopkeeper	(-38,-219)
Basten Ghunret	South Qeynos	35 - 61	1675 - 32000	Human	GM Enchanter	(361,-614)
bat, a	Butcherblock Mountains	1	16	Bat, Giant	Warrior	(2123,1501)
bat, a	East Freeport	1	16	Bat, Giant	Warrior	(-528,-525)
bat, a	Greater Faydark	1	16	Bat, Giant	Warrior	(376,6)
bat, a	Kithicor Woods	1	16	Bat, Giant	Warrior	(1753,4121)
bat, a	Misty Thicket	1	16	Bat, Giant	Warrior	(-759,-1197)
bat, a	North Qeynos	1	16	Bat, Giant	Warrior	(1093,-198)
bat, a	Qeynos Aqueduct System	1	16	Bat, Giant	Warrior	(893,60)
bat, a	Qeynos Hills	1	16	Bat, Giant	Warrior	(4137,-461)
bat, a	The Feerrott	1	16	Bat, Giant	Warrior	(4,-1654)
bat, a	West Freeport	1	16	Bat, Giant	Warrior	(-27,681)
Baxok Curhunter	Ak'Anon	50 - 61	27000 - 32000	Gnome	GM Warrior	(848,-430)
bear cub, a	Surefall Glade	2	32	Bear	Warrior	(220,-178)
Beef	Highpass Hold	40	3250	Ogre	Warrior	(-230,91)
Beek Guinders	Rivervale	50 - 61	27250 - 32344	Halfling	GM Cleric	(-223,-386)
Beggar Wyllin	Qeynos Aqueduct System	5	77	Beggar, Human	Rogue	(551,-103)
beggar, a	Qeynos Aqueduct System	5	100	Beggar, Human	Rogue	(-35,165)
beggar, a	North Qeynos	10	240	Human	Druid	(506,120)
Behroe Dlexon	South Qeynos	18	530	Human	Bard	(-191,-129)
bejeweled elemental	The Hole	49	7423	Elemental	Wizard	(-60,29)
Beleth Streamfoot	Greater Faydark	40	3250	Guard, Faydark	Shopkeeper	(-240,231)
Belious Naliedin	South Qeynos	50 - 61	27000 - 32000	Human	GM Bard	(509,-140)
Bello Fruegnos	West Freeport	35	1675	High Elf	Magician	(-9,-582)
Belux J`Ver	Neriak - Commons	34	1486	Dark Elf	GM Magician	(128,-925)
Beno Targnarle	South Kaladim	45 - 61	5875 - 32000	Dwarf	GM Warrior	(83,404)
Berane Constarg	North Qeynos	38	2566 - 2744	Citizen, Qeynos	Shopkeeper	(-160,-160)
Berill Gladeleaper	Southern Felwithe	40	3250	High Elf	Shopkeeper	(531,-868)
Besklor Tyrenson	West Freeport	34 - 61	1486 - 32000	Human	GM Enchanter	(156,-708)
Beth Breadmaker	Erudin	45	5875	Erudite	Shopkeeper	(136,109)
Beur Tenlah	East Freeport	38 - 61	2494 - 32000	Human	GM Rogue	(-328,-836)
Beztopi	Grobb	40	3250	Citizen, Grobb	Shopkeeper	(366,-237)
