SISATEXT_CMD_FAILED								"<Command Failed>"
SISAMSG_ALREADY_ON_SERVER 				"Error 1021: You have an active character on '%s'.\n\nClick YES to CONTINUE on '%s'.\nClick NO to abort."
SISATEXT_CHATFULL									"Error 1022: The Chat Forums are currently full.\n\nPlease try again later."

// registration stuff
SISATEXT_REG_ERROR									"REGISTRATION ERROR:\n\n"
SISATEXT_REG_NAME_ERROR 						"Error 1023: You MUST specify your LAST name and FIRST name!"
SISATEXT_REG_ADDRESS_ERROR 				"Error 1024: You MUST fill in every field of your address!"
SISATEXT_REG_EMAIL_ERROR 					"Error 1025: You MUST specify your email address!"
SISATEXT_REG_HANDLE_ERROR 					"Error 1026: You MUST specify a Chat Handle of 4 or more characters and NO spaces or special characters"
SISATEXT_REG_STATION_PASSWORD_ERROR"Error 1027: You MUST specify a Station Password of 4 or more characters and NO spaces or special characters"
SISATEXT_REG_STATION_DUPE_ERROR 		"Error 1028: You mistyped your Station password.\n\nPlease retype both Station passwords and remember that they are case-sensitive!"
SISATEXT_REG_STATION_NAME_ERROR 		"Error 1029: You MUST specify a Station Name of 4 or more characters and NO spaces or special characters"
SISATEXT_REG_REENTER_PASSWD 				"Error 1030: You MUST reenter your password to verify it!"
SISATEXT_REG_PASSWD_WRONG 					"Error 1031: You mistyped your password, please reenter again!"
SISATEXT_REG_KEY_ERROR	 						"Error 1032: You MUST enter the Account Key from your CD or CD case!"
SISATEXT_REGPAGE										"Page %d of %d"
SISATEXT_SEX_MALE									"MALE"
SISATEXT_SEX_FEMALE								"FEMALE"
SISATEXT_NO												"NO"
SISATEXT_YES												"YES"
SISATEXT_REG_DOB_ERROR							"Error 1033: You must specify a your date of birth in the format mm/dd/yyyy!"
SISATEXT_EMAIL_VERIFY							"\nPlease verify that your email address is:\n\n%s"
SISATEXT_SONY_STATION							"If you already have a Sony Station Account, please enter your Station Name and Station Password. If you do not have a Sony Station account, please choose a name and password and an account will be created for you."

// billing stuff
SISATEXT_BILLING_ERROR							"BILLING ERROR:"
SISATEXT_NOBILLING_ERROR						"BILLING Error 1034: \n\nYour billing information was incomplete! Please fill in every field..."
SISATEXT_CREDIT_CONFIRM_1M					"You have chosen %s recurring subscription. Your card will be billed %s every month"
SISATEXT_CREDIT_CONFIRM_3M					"You have chosen %s recurring subscription. Your card will be billed %s every 3 months."
SISATEXT_CREDIT_CONFIRM_6M					"You have chosen %s recurring subscription. Your card will be billed %s every 6 months"
SISATEXT_CREDIT_CONFIRM1						"\n(After your free month)"
SISATEXT_CREDIT_CONFIRM2						"\n\nSubscribe to EverQuest?"
SISATEXT_UPDATE_BILLING_CONFIRM 		"Future billing will use the information you have just provided.\n\nDo you wish to proceed?"
SISATEXT_COUPON										"Redeem Coupon"
SISATEXT_FREE											"FREE"
SISATEXT_CANCELACCOUNT_PROMPT 			"Opting to cancel your subscription means that at the end of your selected billing cycle, you will not be re-billed automatically. Your subscription will then expire and you will need to resubscribe to play the game again. At this time you may also change your billing plan.\n\n\ Do you wish to CANCEL your Subscription?"
SISATEXT_CANCELLED_ACCOUNT 				"Your account has been cancelled."
SISATEXT_COUPON_CONFIRM						"Your coupon is valid for %s.\n\nCoupon ID: %s\n\nDo you wish to use this coupon to Subscribe to EverQuest?"
SISATEXT_WARNING			 							"WARNING!!"
SISATEXT_FIRST_SUB									"First-time subscribers receive a free month of play. The plan you choose will take effect upon completion of that free month.\n\n"
SISATEXT_NO_FREE_MONTH							"Each of the above plans are recurring. This means they will be automatically renewed at the end of the billing cycle unless cancelled. The billing cycle is determined by the plan that you choose. For example: the billing cycle is one month for the 1-month plan."
SISATEXT_LOSTCON										"You have lost your connection to the EverQuest server!"
SISATEXT_WAITING_HISTORY						"Retrieving Account history....\n\nPlease wait."
SISATEXT_NOT_IMPLEMENTED						"Error 1035: Feature not implemented yet."
SISATEXT_CHOOSE_STATE							"Error 1036: You must select a State or Province!"
SISATEXT_BILL_CHANGE								"You are currently subscribed. The changes you make below will take effect immediately, upon your currently subscribed plan."

//button labels
SISATEXT_EXITBUTTON								"EXIT"
SISATEXT_CONNECTBUTTON							"CONNECT"
SISATEXT_NEWSBUTTON								"NEWS"
SISATEXT_CREATECHATBUTTON					"CREATE CHAT"
SISATEXT_CHATBUTTON								"CHAT"
SISATEXT_HELPBUTTON								"HELP"
SISATEXT_CANCELBUTTON	 						"CANCEL"
SISATEXT_CREATEBUTTON							"CREATE"
SISATEXT_FINISHBUTTON							"FINISH"
SISATEXT_NEXTBUTTON								"NEXT"
SISATEXT_PREVBUTTON								"BACK"
SISATEXT_OPTIONSBUTTON	 						"OPTIONS"
SISATEXT_EDITBUTTON								"EDIT"
SISATEXT_DELETEBUTTON 							"DELETE"
SISATEXT_NOBUTTON									"NO"
SISATEXT_YESBUTTON		 							"YES"
SISATEXT_ENTERBUTTON	 							"ENTER"
SISATEXT_ACCOUNTBUTTON							"ACCOUNT"
SISATEXT_ALIASBUTTON	 							"ALIASES"
SISATEXT_CREDITSBUTTON		 					"CREDITS"
SISATEXT_HELPNEWSBUTTON	 					"HELP / NEWS"
SISATEXT_PLAYBUTTON		 						"PLAY"
SISATEXT_OKBUTTON	 								"OK"
SISATEXT_NEWUSERBUTTON	       			"NEW USER"
SISATEXT_NEWACCOUNTBUTTON					"NEW ACCOUNT"
SISATEXT_CHANGEACCOUNTBUTTON	 			"CHANGE ACCOUNT"
SISATEXT_CANCELACCOUNTBUTTON	 			"CANCEL ACCOUNT"
SISATEXT_ACCOUNTHISTORYBUTTON 	 		"ACCOUNT HISTORY"
SISATEXT_CHANGEKUNAKRBUTTON	 			"KUNARK REGISTRATION"
SISATEXT_CHANGEREGBUTTON		 				"EDIT REGISTRATION"
SISATEXT_CHANGESUBBUTTON	 					"EDIT BILLING"
SISATEXT_CHANGEPASSWORDBUTTON 			"CHANGE PASSWORD"
SISATEXT_NOWBUTTON	 								"NOW"
SISATEXT_LATERBUTTON		 						"LATER"
SISATEXT_MOVIEBUTTON	 							"WATCH INTRO"
SISATEXT_MOREBUTTON	 							"MORE"
SISATEXT_CONFIGBUTTON	 						"OPTIONS"
SISATEXT_GUILDSBUTTON	 						"GUILDS"
SISATEXT_STOREBUTTON          			"STORE"
SISATEXT_UPGRADEBUTTON        			"KUNARK REGISTRATION"

//tab labels
SISATEXT_TAB_PASSWORD							"Station  Password"
SISATEXT_TAB_HANDLE		 						"Station  Name"
SISATEXT_TAB_CHANNELS	 						"Channels"
SISATEXT_TAB_CHAT		 							"Chat  Window"
SISATEXT_TAB_CHANNELNAME	 					"Enter  name  of  new  Channel"
SISATEXT_TAB_GUILDNAME		 					"Enter  name  of  new  Guild"
SISATEXT_TAB_OPTIONS		 						"Options"
SISATEXT_TAB_ALIASES	 							"Your  Login Names  /  Aliases"
SISATEXT_TAB_PLAYERS	 							"Players"
SISATEXT_TAB_CHANNELPASS		 				"Enter  password  for  new  Channel"
SISATEXT_TAB_ENTERNAME     				"Channel  Name:"
SISATEXT_TAB_ENTERCREATOR 			 		"Channel  Creator:"
SISATEXT_TAB_ENTEROLDPASSWORD 			"Enter  Current  Password:"
SISATEXT_TAB_ENTERPASSWORD 				"Enter  New  Password:"
SISATEXT_TAB_ENTERPASSWORD1 	 			"Re-Enter  New  Password:"
SISATEXT_SECURITY_BLANK					"For security reasons your personal information will not be displayed in this form. Please update any fields that have changed."
GREEN_SERVER						"Welcome to EverQuest!  \nFor the best gameplay experience, it is recommended that new subscribers start on one of the preferred 'green' servers.  Servers with lower populations are widely considered to be superior by online gamers."
GREEN_SERVER_SHORT					"Preferred servers are colored green."
EXPANSION_ENABLED					"Your account is now %s enabled! If you have not yet installed your %s CD, please do so now."
KUNARK_UPGRADE1						"To visit the vast new continent of Kunark, play as a lizardman Iksar, or to exceed level 50 you must upgrade your current EverQuest account."
KUNARK_UPGRADE2						"To upgrade your existing account you need your Kunark Upgrade account key.  Upgrade account keys may only be used to upgrade accounts, and may not be used to create new accounts."
KUNARK_UPGRADE3						"Alternately, you may use your account key from the retail box copy of EverQuest: The Ruins of Kunark.  Your key may only be used once -- you may use your key to upgrade an account(no free month) or to create a new account, not both.  If you wish to create a seperate subscribed account for Kunark, log out and create a new account."
KUNARK_UPGRADE4						"Please enter the Account Key from your CD case below."
SISATEXT_CHANGERBUTTON					"REGISTER EXPANSION"
SISATEXT_CHANGEVELIOUSRBUTTON	 			"VELIOUS REGISTRATION"				
VELIOUS_UPGRADE1						"To visit the vast new continent of Velious, or to exceed level 50 you must upgrade your current EverQuest account."
VELIOUS_UPGRADE2						"To upgrade your existing account you need your Velious Upgrade account key, found in your EverQuest: Scars of Velious box.  Upgrade account keys may only be used to upgrade accounts, and may not be used to create new accounts."
VELIOUS_UPGRADE3						"Please enter the Account Key from your CD case below."



